candidate_id,source_url,source_kind
c110,https://www.fragrantica.com/perfume/Marc-Antoine-Barrois/B683-46802.html,trusted_secondary
c062,https://www.fragrantica.com/perfume/Initio-Parfums-Prives/Paragon-76580.html,trusted_secondary
c114,https://www.fragrantica.com/perfume/Memo-Paris/Irish-Leather-18393.html,trusted_secondary
c044,https://www.fragrantica.com/perfume/Maison-Francis-Kurkdjian/Gentle-Fluidity-Gold-53401.html,trusted_secondary
c063,https://www.fragrantica.com/perfume/Nishane/Hacivat-44174.html,trusted_secondary
c067,https://www.fragrantica.com/perfume/By-Kilian/Black-Phantom-43632.html,trusted_secondary
c069,https://www.fragrantica.com/perfume/Le-Labo/Another-13-10131.html,trusted_secondary
c078,https://www.fragrantica.com/perfume/Aesop/Hwyl-46895.html,trusted_secondary
c070,https://www.fragrantica.com/perfume/Le-Labo/The-Noir-29-31872.html,trusted_secondary
c079,https://www.fragrantica.com/perfume/Aesop/Tacit-32134.html,trusted_secondary
c072,https://www.fragrantica.com/perfume/Escentric-Molecules/Molecule-02-3606.html,trusted_secondary
c071,https://www.fragrantica.com/perfume/Le-Labo/Bergamote-22-6327.html,trusted_secondary
c073,https://www.fragrantica.com/perfume/Escentric-Molecules/Molecule-04-44315.html,trusted_secondary
c077,https://www.fragrantica.com/perfume/Comme-des-Garcons/Blackpepper-40188.html,trusted_secondary
c091,https://www.fragrantica.com/perfume/Tauer-Perfumes/L-Air-du-Desert-Marocain-4573.html,trusted_secondary
c095,https://www.fragrantica.com/perfume/Orto-Parisi/Megamare-53471.html,trusted_secondary
c108,https://www.fragrantica.com/perfume/Maison-Crivelli/Oud-Maracuja-83842.html,trusted_secondary
c111,https://www.fragrantica.com/perfume/Les-Liquides-Imaginaires/Blanche-Bete-70189.html,trusted_secondary
c107,https://www.fragrantica.com/perfume/Maison-Crivelli/Hibiscus-Mahajad-69069.html,trusted_secondary
c116,https://www.fragrantica.com/perfume/Penhaligon-s/The-Tragedy-of-Lord-George-40716.html,trusted_secondary
c096,https://www.fragrantica.es/perfume/Orto-Parisi/Terroni-45475.html,trusted_secondary
c112,https://www.fragrantica.com/perfume/Les-Liquides-Imaginaires/Dom-Rosa-23083.html,trusted_secondary
c087,https://www.fragrantica.com/perfume/Roja-Dove/Enigma-Pour-Homme-20559.html,trusted_secondary
c047,https://www.fragrantica.com/perfume/Parfums-de-Marly/Althair-84109.html,trusted_secondary
c057,https://www.fragrantica.com/perfume/Xerjoff/Torino21-70424.html,trusted_secondary
c065,https://www.fragrantica.com/perfume/Nishane/Wulong-Cha-30567.html,trusted_secondary
c098,https://www.fragrantica.com/perfume/Mancera/Aoud-Lemon-Mint-39181.html,trusted_secondary
